x1,x2,y
6.2213433970898775,4.968752570534279,2
7.3608921101017275,8.857455169231121,2
-0.10817779871434088,4.73072344599746,1
3.1273582729651475,1.927986067193551,0
-0.8172593326957832,6.759974009088914,1
-0.4539530626342918,5.1314834253246255,1
0.1863434620101012,5.416421296264748,1
0.3026660054548077,4.544709598887464,1
1.7730734719993073,5.436447812229673,1
-0.20119499927558165,6.366515772839398,1
7.536778940010222,6.809700214405366,2
2.2073117672512863,3.456207556590406,0
-0.2887975605644451,5.146583472907055,1
-0.9160178130405775,6.80423821370136,1
0.3163540434315226,3.926776322010384,1
3.8916056535485506,2.6089794792082457,0
4.083139848752479,4.350871297701798,0
-0.08286870208389316,5.440736230123169,1
3.8973675622764707,2.7898861079141266,0
0.8174386342089404,5.881626491282378,1
7.185832783807625,7.549255131352244,2
3.1508284705072174,2.079894146253455,0
1.282270873559027,4.615429796064342,1
4.6179437988976835,3.19524233865319,0
1.2579346525310657,5.276216613752224,1
3.990448616121951,4.156190915817088,0
1.5795427599209553,6.541255636985353,1
8.736688266443622,8.126321942877626,2
0.8166296883649808,4.045175778474852,1
6.792880988360535,5.903785322235922,2
-0.21173894603327975,5.078386593655056,1
4.159799153232361,1.8034857397186397,0
7.565428253700797,7.377252362151302,2
4.219571910977814,1.814844678211005,0
4.081363238136672,1.7416973983859434,0
3.778010296883239,3.107770882043437,0
5.454305909450381,1.6965869339678044,0
7.614292827023028,4.813107450051907,2
1.3947796670584451,5.28431118166021,1
7.762693359140321,7.234052829868942,2
-0.31554413977822915,4.757072732424683,1
-0.6232370951980274,3.3175322291502845,1
0.3669413238165907,5.522906617866156,1
7.1017501780777685,8.357441202344482,2
-1.4633973692266053,7.488415954784459,1
-1.2016954611268449,5.180145633427687,1
8.485270717409723,7.7241380320270965,2
8.787608036150575,7.907905851775138,2
-0.9677359400973735,4.835672121375131,1
6.717541336613128,6.416303890764599,2
1.1442118168921844,5.256518507303411,1
8.517770525970896,6.741951549985127,2
7.4832475800376805,6.026037970717638,2
0.1724101378227032,4.687588369219314,1
3.008824419277374,1.7725031470089636,0
7.700139517708071,6.286491758779951,2
2.6495131860976464,3.062786747298935,0
3.4701914884939504,0.5690603456399932,0
4.845412035461111,2.514160337003835,0
-0.07547467212489264,5.813340106854514,1
7.557319085128451,7.319413937858685,2
0.6014810879113004,7.730477012237724,1
5.475313451778598,1.6296667260230193,0
6.733702352213047,7.794332016933848,2
7.3892675769827685,8.70872068147583,2
7.82402190582248,8.437045787680642,2
0.12173645921586451,5.389164468747701,1
